,0
0,"An american singer-songwriter, recording artist, actress, dancer and television personality."
1,"Hawkins, indiana"
2,It is an unincorporated territory of the united states located in the northeast caribbean sea.
3,Peggy sue got married is a 1986 american comedy-drama film directed by francis ford coppola starring kathleen turner as a woman on the verge of a divorce.
4,Roddick
5,"Yoko ono and john lennon held two week-long bed-ins for peace, one at the hilton hotel in amsterdam and one at fairmont the queen elizabeth in montreal, each of which were intended to be non-violent protests against wars, and experimental tests of new ways to promote peace."
6,"Grace jones is a jamaican born singer, songwriter, lyricist, supermodel, record producer, and actress."
7,Two years
8,The science fiction short story  graffiti '' by julio cortázar.
9,"C. s. forester was an english novelist known for writing tales of naval warfare such as the 12-book horatio hornblower series, depicting a royal navy officer during the napoleonic wars."
10,"Skull island is a 2017 american action-adventure monster film directed by jordan vogt-roberts and written by dan gilroy, max borenstein and derek connolly."
11,"It is a reality game show on mtv that is spun off from the network's two reality shows, real world and road rules."
12,Red headed stranger is a 1975 album by american outlaw country singer willie nelson.
13,"Chester charles bennington is an american musician, singer, songwriter and actor."
14,David robert joseph beckham has two middle names.
15,River phoenix
16,Shane black
17,Alani nicole
18,"Filmfare is an english-language, tabloid-sized magazine about hindi-language cinema, popularly known as bollywood."
19,The brightly colored scagliola in buckingham palace is blue and pink lapis.
20,Lesnar
21,"March 16, 2012"
22,Beijing ducks of the chinese basketball association.
23,Julius caesar is a 1953 epic metro-goldwyn-mayer film adaptation of the play by shakespeare.
24,Julien temple
25,Christopher hampton's play les liaisons dangereuses
26,Connecticut
27,2007
28,Billy douglas on the soap opera one life to live.
29,"In 1988, connery won the academy award for best supporting actor for his role in the untouchables."
30,Venom has become more of an antihero.
31,Jennifer aniston is the daughter of greek-born actor john aniston and american actress nancy dow.
32,"The only industry that includes entertainment is the field studies relationships between political entities -lrb- polities -rrb- such as states, sovereign states, empires."
33,1974
34,"July 26, 2015"
35,Gilmore girls is an american comedy-drama television series created by amy sherman-palladino starring lauren graham and alexis bledel.
36,Laadla is a bollywood film released on 17 april 1994.
37,Pogba
38,Islam also teaches a final judgment with the righteous rewarded paradise and unrighteous a.
39,Small
40,Tyler joseph's nickname is nick thomas and chris salih.
41,Outkast
42,"Dolly parton dean -lrb- born january 19, 1946 -rrb-, professionally known as dolly parton, is an american singer, songwriter, multi-instrumentalist, record producer, actress, author, businesswoman, and philanthropist."
43,Amanda show
44,"France, germany, italy, japan, the united kingdom, the united states, canada -lrb- since 1976."
45,Ted kaczynski is the real name of ted kaczynski.
46,The tunnel was later lined with reinforced concrete and equipped with a better ventilation system.
47,"Jennifer joanna aniston is an american actress, producer, and businesswoman."
48,Iran
49,"The israeli series prisoners of war -lrb- original title  hatufim, literally  abductees '' -rrb-, which was created by gideon raff."
50,The southern vampire mysteries series of novels by charlaine harris.
51,"An american rapper, producer, and member of the groups wu-tang clan and czarface."
52,A star is born -lrb- 1954 -rrb- and judgment at nuremberg -lrb- 1961 -rrb-.
53,"Chinese people are the various individuals or groups of people associated with china, either through ancestry, ethnicity, nationality, citizenship, or other affiliation."
54,"The sky and thunder god in ancient greek religion, who ruled as king of the gods of mount olympus."
55,Stuart sutcliffe was a bass player.
56,A 2004 american romantic comedy film directed by peter segal and written by george wing.
57,"The primary precursor network, the arpanet, initially served as a backbone for interconnection of regional academic and military networks in the 1980s."
58,Donald duck
59,The cbs tv series ncis
60,"She has played roles in television, such as in the bbc's mini-series criminal justice, rté's love/hate, e4's misfits, and abc's marvel's agents of s.h.i.e.l.d."
61,Elizabeth ii
62,Monica geller
63,Britney spears's fourth album is the fourth album.
64,"The golden dawn -lrb- aurora aurea -rrb- rrb- was an organization devoted to the study and practice of the occult, metaphysics, and paranormal activities during the late 19th and early 20th centuries."
65,Best actress nominations for her performances in the films resurrection -lrb- 1980 -rrb- and requiem for a dream -lrb- 2000 -rrb-.
66,The intouchables
67,The title of the lord of the rings series is the hunger games.
68,Audi usa
69,Audrey horne premiered on the day of the first audrey horne series.
70,November 1995
71,Dennis william quaid is an american actor known for a wide variety of dramatic and comedic roles.
72,"Yes, thandie newton is capable of appearing in british films."
73,Lo nuestro
74,"Edgar allan poe was an american writer, editor, and literary critic."
75,Lemonade mouth
76,Capra
77,It is an academic discipline and a social science which seeks to understand individuals and groups by establishing general principles and researching specific cases.
78,April 1976
79,"April 28, 2014"
80,1:30 train
81,"January 8, 1966"
82,A fictional antihero.
83,The gambler and kenny
84,X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.
85,Alex rodriguez never hit 500 home runs.
86,Richard nixon
87,"The film stars the voices of jay baruchel, gerard butler, craig ferguson, america ferrera, jonah hill, t.j. miller, kristen wiig, and christopher mintz-plasse."
88,"It was the recipient of seven academy awards -lrb- out of twelve nominations -rrb-, including best picture, best director, best adapted screenplay, and best original score, as well as numerous other awards -lrb- including seven baftas and three golden globes -rrb-."
89,"Yes, walter matthau is capable of winning anything."
90,Breakthrough band of 2013
91,The colony of canada first being established by the french in 1535 during jacques cartier's second voyage to new france.
92,System of a down has sold over 40 million records worldwide.
93,Denver broncos
94,The name of anthropology is the company that does anthropology.
95,"He is known for his long-running role as wolverine in the x-men film series, as well for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -lrb- 2006 -rrb-, the epic fantasy"
96,Aubrey drake graham
97,The official name of italy is the italian republic.
98,Ron cobb was born in 1937.
99,The sarah silverman program
