,0
0,He was an american politician who served as the 39th president of the united states from 1977 to 1981.
1,Faith evans is an american singer-songwriter.
2,Padmé amidala
3,Joshy
4,The inhumans are a fictional race of superhumans appearing in american comic books published by marvel comics.
5,Catherine hardwicke
6,The name of the actress who did not change her gender is the name of the actress.
7,The country joined the eurozone in 2004.
8,"Iain glen is a scottish film, television, and stage actor."
9,American
10,Lee min-ho is a south korean actor and singer.
11,Rembrandt van rijn and vincent van gogh.
12,Shawn mendes is represented by the record label.
13,The series was produced by southern star group and screened in australia from 2001 to 2005 on network ten and on channel 4 in the uk.
14,Gotham city
15,"Yes, jamie foxx is able to portray ray charles in the 2004 biographical film ray."
16,"In rural narrows, georgia."
17,Toy story is a 1995 american computer-animated buddy comedy adventure film produced by pixar animation studios and released by walt disney pictures.
18,Martin
19,Michael ross
20,Death row records
21,Chicago area
22,"Charles i was monarch of the three kingdoms of england, scotland, and ireland from 27 march 1625 until his execution in 1649."
23,"Yes, billy clanton was related to newman clanton."
24,Cara delevingne won the model of the year award at the british fashion awards in 2012 and 2014.
25,"April 10, 1974"
26,It is a 2015 american action film directed by james wan and written by chris morgan.
27,"Caroline is married to ernst august, prince of hanover -lrb- born 1954 -rrb-, the heir to the former throne of the kingdom of hanover, as well as the heir male of george iii of the united kingdom."
28,Nightwatch
29,Western india
30,1989
31,Ronald wilson reagan served as the 40th president of the united states from 1981 to 1989.
32,Green
33,"Federer has won 18 grand slam singles titles, the most in history for a male tennis player, and held the no. 1 spot in the atp rankings for a record 237 consecutive weeks and a record total of 302 weeks."
34,Planet of the apes
35,George best has been described as the greatest player to ever pull on the green shirt of northern ireland.
36,Jesse bradford has in bring it on.
37,"Jon watts is an american film director, producer and screenwriter."
38,"Articles on women's issues, relationships, sex, health, careers, self-improvement, celebrities, fashion, and beauty."
39,Wentworth premiered on soho on 1 may 2013.
40,Apple was founded in april 1976.
41,Grace kelly worked with gary cooper.
42,The normal heart -lrb- 2014 -rrb- as b.
43,Muslim world
44,The muppet christmas carol is a 1992 american musical fantasy comedy-drama film and an adaptation of charles dickens's 1843 novel a christmas carol.
45,An american sitcom that airs on cbs.
46,"Yes, he is capable of competing in sports."
47,"Bruce lee was a hong kong and american martial artist, actor, philosopher, filmmaker, and founder of the martial art jeet kune do."
48,"Ajay devgan is an indian film actor, director and producer."
49,"In 2004, she made her film debut with a role in the teen comedy confessions of a teenage drama queen."
50,"The good thief -lrb- 2003 -rrb-, hotel rwanda -lrb- 2004 -rrb-, tropic thunder -lrb- 2008 -rrb-, a walk in the woods -lrb- and the ridiculous 6 -lrb- 2015 -rrb-."
51,Black panther was officially announced in october 2014.
52,Six seasons
53,"Yes, anna paquin is able to perform the role of flora mcgrath."
54,Wachowski brothers
55,Scott eyman
56,The name of the film dangerous liaisons is les liaisons dangereuses.
57,Courtney love's character in man on the moon is courtney love's character.
58,Kuomintang
59,Stephen rider
60,Mecca
61,"A 1987 american comedy film directed by leonard nimoy, and stars tom selleck, steve guttenberg, ted danson and nancy travis."
62,Canada's border with the united states is the world's longest binational land border.
63,A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.
64,Ringo starr has been featured in a number of documentaries and hosted television shows.
65,"Randy orton has held the wwe championship nine times -lrb- eighth reign was as wwe world heavyweight champion -rrb- and wwe's world heavyweight championship four times, and was the final holder of the world heavyweight championship, which he unified with the wwe championship to become the wwe world heavyweight champion."
66,"The dark world was released internationally on october 30, 2013, and on november 8, 2013, in the united states."
67,Orenthal james
68,"A song by english musician and former beatle, george harrison."
69,"Arrow only available in regions 1, 2 and 4."
70,2 august 1976
71,The major league soccer playoffs are the mls cup.
72,Cyrus
73,"An american singer-songwriter, recording artist, actress, dancer and television personality."
74,Apocalypse now was never released.
75,"The metropolis is anchor to the rio de janeiro metropolitan area, the second-most populous metropolitan area in brazil and sixth-most populous in the americas."
76,David robert joseph beckham is from england.
77,Thirteen episodes
78,Faith evans's thriller is a thriller.
79,The invention of lying is a 2009 american fantasy romantic comedy film written and directed by ricky gervais and matthew robinson.
80,The film grossed us$ 481.8 million worldwide.
81,"The cw premiered in north america on october 10, 2012, with international broadcasting taking place in late 2012."
82,"Avram noam chomsky is an american linguist, philosopher, cognitive scientist, historian, social critic, and political activist."
83,"Compton, california"
84,"Dallas, texas"
85,"Ajay devgan is an indian film actor, director and producer."
86,The united kingdom is a constitutional monarchy with a parliamentary system of governance.
87,Chelsea and the spain national team.
88,Mao zedong is regarded as one of the most important individuals in modern world history.
89,Australian
90,Gone with the wind is a 1939 american epic historical romance film adapted from margaret mitchell's 1936 novel gone with the wind.
91,Rebecca ferguson's first career is as elizabeth woodville in the white queen.
92,Mitt romney
93,"Frederick trump was born on march 14, 1869."
94,New york city
95,The empire of japan aimed to dominate asia and the pacific and was already at war with the republic of china in 1937.
96,"April 13, 1950"
97,Cameron crowe worked with jerry maguire.
98,Michael schumacher was born 3 january 1969.
99,Lymphoma
