,0
0,9 october 19408 december 1980
1,"The dark world is a 2013 american superhero film based on the marvel comics character thor, produced by marvel studios and distributed by walt disney studios motion pictures."
2,It is a 2000 american romance western film produced and directed by billy bob thornton.
3,"It is an american punk rock band from mchenry, illinois."
4,"April 8, 1981"
5,Teen wolf is an american television series developed by jeff davis for mtv.
6,"September 17, 1931"
7,"A football club in manchester, england."
8,"The color of money -lrb- 1986 -rrb-, cocktail -lrb- 1988 -rrb-, rain man -lrb- 1988 -rrb-, and born on the fourth of july -lrb- 1989 -rrb-."
9,"Scott weiland -lrb- lead vocals -rrb-, brothers dean -lrb- guitar -rrb- and robert deleo -lrb- bass, backing vocals -rrb-, and eric kretz -lrb- drums -rrb-."
10,Audrey horne series premiered in 2006.
11,"Ricin is a highly toxic, naturally occurring lectin -lrb- a carbohydrate-binding protein -rrb- produced in the seeds of the castor oil plant, ricinus communis."
12,The academy honorary award
13,5 september 1942
14,"Anna kendrick, anna camp, rebel wilson, brittany snow, hailee steinfeld, alexis knapp, ester dean, hana mae lee, chrissie fit, kelley jakle, and shelley regner as the bellas and elizabeth banks and john michael higgins."
15,Philadelphia warriors
16,Melisandre of asshai
17,"February 21, 1933"
18,"Inspectah deck is an american rapper, producer, and member of the groups wu-tang clan and czarface."
19,"The great gatsby explores themes of decadence, idealism, resistance to change, social upheaval, and excess, creating a portrait of the jazz age or the roaring twenties that has been described as a cautionary tale regarding the american dream."
20,"September 3, 1965"
21,Abc
22,Anil kapoor
23,Get carter
24,High fidelity
25,An american soldier and statesman who served as the seventh president of the united states from 1829 to 1837 and was the founder of the democratic party.
26,"Human habitation in afghanistan dates back to the middle paleolithic era, and the country's strategic location along the silk road connected it to the cultures of the middle east and other parts of asia."
27,French revolution
28,The 1988 wolf prize for physics
29,1970s
30,Jon stewart
31,To the west
32,Keenan has to do with a perfect circle.
33,"Susan  sue '' nicola vertue -lrb- born 21 september 1960 in surrey -rrb- is an english television producer, mainly of comedy shows, including mr. bean and coupling."
34,The effect of independence day on writers was to create a story that is written and directed by roland emmerich.
35,"Hawkins, indiana"
36,Daft punk started in 1993.
37,Bradford city park
38,Alani nicole
39,Jazz cabaret
40,Galaxy quest is a 1999 american comedy science fiction film directed by dean parisot and written by david howard and robert gordon.
41,Sharp
42,Lrb
43,22 february 1962
44,The name of the lord of the rings novel is diana gabaldon.
45,Grey's anatomy is the color of the characters in grey's anatomy.
46,"October 29, 1925"
47,"The breakfast club is a 1985 american coming-of-age comedy-drama film written, produced, and directed by john hughes, starring emilio estevez, paul gleason, anthony michael hall, judd nelson, molly ringwald and ally sheedy."
48,"Oz the great and powerful premiered at the el capitan theatre on february 14, 2013, and with general theatrical release on march 8, 2013, through the disney digital 3-d, reald 3d and imax 3d formats, as well as in conventional theaters."
49,"The religion of final fantasy xii is an open world split into zones, a seamless battle system, a controllable camera, a customizable  gambit '' system which lets the player control the artificial intelligence -lrb- ai -rrb- of characters in battle ; and a  license '' system that deter the game."
50,Shania twain is a canadian singer and songwriter.
51,"Marilyn monroe was one of the most marketable hollywood stars, with leading roles in three films : the noir niagara, which focused on her sex appeal, and the comedies gentlemen prefer blondes and how to marry a millionaire, which established her star image as a  dumb blonde ''."
52,"The dominance of the pap, coupled with a low level of press freedom and restrictions on civil liberties and political rights, has led to singapore being classified by some as a semi-authoritarian regime."
53,"Yes, lee min-ho is capable of being an actor."
54,Victoria
55,David wheeler
56,"It is an adaptation of jack kerouac's 1957 novel of the same name and stars an ensemble cast featuring garrett hedlund, sam riley, kristen stewart, alice braga, amy adams, tom sturridge, danny morgan, elisabeth moss, kirsten dunst, and viggo mortensen."
57,The capital and most populous city of the australian state of victoria.
58,Bobby long
59,It is a regionally specific name for a distilled beverage made from the blue agave plant.
60,It was made in 2012.
61,"The first film in the series was directed by neil burger, while the second and third films were directed by robert schwentke."
62,Maze runner
63,Pineapple express is a 2008 american stoner action comedy film directed by david gordon green.
64,Ethiopia is the most populous landlocked country in the world.
65,The film also earned tamblyn a nomination for best supporting female at the independent spirit awards.
66,"Fergie began touring in 2009/2010 with her group and she launched her debut fragrance, outspoken, under avon in may 2010."
67,Solange piaget knowles
68,"Syrian arabs, greeks, armenians, assyrians, kurds, circassians, mandeans and turks."
69,Brian bolland
70,"Ludacris has won screen actors guild, critic's choice, mtv, and grammy awards."
71,The shield is an american crime drama television series starring michael chiklis.
72,The jacksons is the only english language broadcast channel that the jacksons refused to air on.
73,"The religious diversity in los angeles is the mediterranean climate, ethnic diversity, and sprawling metropolis."
74,The great war
75,The island is the island of newfoundland and labrador.
76,Adele laurie blue adkins is an english singer-songwriter.
77,"Yes, meryl streep is eligible for an academy award nomination."
78,"Yes, rain man is capable of winning anything."
79,Catherine zeta-jones is a welsh actress.
80,The whale is the name of the whale.
81,Kirk douglas
82,"Dr. martin brenner in stranger things, the title character in alan parker's birdy, high school wrestler louden swain in vision quest and the oversexed sullivan groff on weeds."
83,"Monroeville, alabama"
84,Happy madison productions
85,"A retelling of the first book, twilight, from edward cullen's point of view."
86,No way out
87,Before we go is a 2014 american independent romantic drama film directed by chris evans in his directorial debut.
88,Dirty mind
89,Rhona natasha mitra
90,The new york times is an american daily newspaper.
91,Michael phillips and julia phillips
92,"The parliament building in budapest is the world's largest thermal water cave system, second largest synagogue, and third largest parliament building."
93,The norm in a role-playing game is to physically perform their characters actions.
94,23 may 1790
95,The progressive
96,Maigret
97,Neymar jr.
98,"Insurgent is a 2015 american science fiction action film directed by robert schwentke, based on insurgent."
99,"Yes, r. kelly is capable of being a musician."
